typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,616,POL,Poland,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48142400.618,TRUE,-1,N/A,0,FALSE,48142400.618,TRUE,0,FALSE,12796401.133,,12796401.133,6,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,642,ROU,Romania,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.76,FALSE,8,kg,155.76,FALSE,155.76,FALSE,0,FALSE,821.283,,821.283,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,703,SVK,Slovakia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1154530,FALSE,8,kg,1154530,FALSE,1154530,FALSE,0,FALSE,446948.687,,446948.687,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,724,ESP,Spain,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1436286.035,TRUE,-1,N/A,0,FALSE,1436286.035,TRUE,0,FALSE,549389.71,,549389.71,6,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,752,SWE,Sweden,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25796159.39,FALSE,8,kg,25796159.39,FALSE,25796159.39,FALSE,0,FALSE,5187786.918,,5187786.918,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,757,CHE,Switzerland,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,301.16,FALSE,8,kg,301.16,FALSE,301.16,FALSE,0,FALSE,548.182,,548.182,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,768,TGO,Togo,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,377,FALSE,8,kg,377,FALSE,377,FALSE,0,FALSE,1463.521,,1463.521,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,788,TUN,Tunisia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24.17,FALSE,8,kg,24.17,FALSE,24.17,FALSE,0,FALSE,173.574,,173.574,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11275084.11,FALSE,8,kg,11275084.11,FALSE,11275084.11,FALSE,0,FALSE,5087689.77,,5087689.77,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,800,UGA,Uganda,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25,FALSE,8,kg,25,FALSE,25,FALSE,0,FALSE,32.065,,32.065,0,FALSE,TRUE,
