typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5165878.787","4383913.434","5165878.787","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14645.464","10482.463","14645.464","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","102411373.72","98398941.691","102411373.72","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7250471.474","7049155.505","7250471.474","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","40304.558","37042.834","40304.558","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","102260.59","92488.721","102260.59","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10637523.126","10241054.927","10637523.126","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3615783.121","3450028.251","3615783.121","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","269886876.558","256749025.714","269886876.558","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","49736132",,"49736132","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","331653.5",,"331653.5","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2469817.5",,"2469817.5","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7031997.5",,"7031997.5","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","56352.5",,"56352.5","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","157333.5",,"157333.5","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","372","IRL","Ireland","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","29120",,"29120","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2057",,"2057","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","388","JAM","Jamaica","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","860704",,"860704","0","false","true",
"C","A","20250101","2025","52","2025","52","BRB","Barbados","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","997838",,"997838","0","false","true",
