typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","699","IND","India","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1112189.29",,"1112189.29","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","710","ZAF","South Africa","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","423.27",,"423.27","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","20447.45",,"20447.45","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","760","SYR","Syria","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","797314.08",,"797314.08","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","47173.24",,"47173.24","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4885.25",,"4885.25","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","25806945.84",,"25806945.84","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","795","TKM","Turkmenistan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","694669.03",,"694669.03","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","804","UKR","Ukraine","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","778199.28",,"778199.28","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","818","EGY","Egypt","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1108120.77",,"1108120.77","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","531.92",,"531.92","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","130091.98",,"130091.98","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","860","UZB","Uzbekistan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5062748.89",,"5062748.89","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","50860668.48","44201639.62","50860668.48","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","8","ALB","Albania","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1160.47","1147.41","1160.47","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","411502.41","379853.06","411502.41","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5629.64","5216","5629.64","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5103911.75","4922644.65","5103911.75","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","47525.68","36711.5","47525.68","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9785387.91","7851741.22","9785387.91","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4756577.29","4045778.47","4756577.29","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","152","CHL","Chile","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10986415.63","8964055.06","10986415.63","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","156","CHN","China","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9448125.08","8606954.19","9448125.08","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","218","ECU","Ecuador","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","271305.27","221578.4","271305.27","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","251","FRA","France","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","81927.09","71780.09","81927.09","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","328195.92","323608.9","328195.92","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1912.02","1246","1912.02","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","99809.93","96271.16","99809.93","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","37858.15","37183.53","37858.15","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","504","MAR","Morocco","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","41892.78","39528","41892.78","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","199383.24","192138.28","199383.24","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","201810.04","182599.25","201810.04","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12120","11820","12120","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","600","PRY","Paraguay","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","75319.2","64880","75319.2","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","604","PER","Peru","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1801480.04","1616847.97","1801480.04","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","732913.28","674849.81","732913.28","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","620","PRT","Portugal","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","447476.22","435152.14","447476.22","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14750.68","14547.11","14750.68","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","688","SRB","Serbia","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","192.98","89.2","192.98","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","699","IND","India","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1168920.02","1037911.68","1168920.02","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1238943.34","1123734.78","1238943.34","0","false","true",
