typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","261001487.069","false","8","kg","261001487.069","false","261001487.069","false","0","false","277816472.674","262599394.363","277816472.674","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2895","false","8","kg","2895","false","2895","false","0","false","11856.608","11043.681","11856.608","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","50","BGD","Bangladesh","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","252710","false","8","kg","252710","false","252710","false","255.459","false","477186.748","458506.085","477186.748","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1705327.35","false","8","kg","1705327.35","false","1705327.35","false","1762.961","false","3223152.962","2961669.252","3223152.962","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","226600","false","8","kg","226600","false","226600","false","227.325","false","130710.171","121172.671","130710.171","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10106978.688","false","8","kg","10106978.688","false","10106978.688","false","0","false","7321635.797","6926665.597","7321635.797","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","875364.25","false","8","kg","875364.25","false","875364.25","false","0","false","1322273.287","1261194.512","1322273.287","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","273797.2","false","8","kg","273797.2","false","273797.2","false","0","false","671275.375","643938.083","671275.375","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49500","false","8","kg","49500","false","49500","false","50.48","false","58076.412","55952.498","58076.412","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2703","false","8","kg","2703","false","2703","false","2.703","false","6574.267","5449.866","6574.267","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22000","false","8","kg","22000","false","22000","false","22.044","false","36239.849","35419.217","36239.849","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18216","false","8","kg","18216","false","18216","false","18.555","false","27782.576","26597.774","27782.576","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","364","IRN","Iran","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","244760.168","false","8","kg","244760.168","false","244760.168","false","0","false","488973.478","466105.303","488973.478","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","368","IRQ","Iraq","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5000","false","8","kg","5000","false","5000","false","24","false","10758.9","9664.962","10758.9","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3392371.95","false","8","kg","3392371.95","false","3392371.95","false","0","false","7100494.338","6701075.279","7100494.338","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4492349.598","false","8","kg","4492349.598","false","4492349.598","false","0","false","6000034.329","5829626.475","6000034.329","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","400","JOR","Jordan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19998","false","8","kg","19998","false","19998","false","20.976","false","22262.807","19310.271","22262.807","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","404","KEN","Kenya","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3125","false","8","kg","3125","false","3125","false","0","false","7748.393","6319.841","7748.393","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","421877.4","false","8","kg","421877.4","false","421877.4","false","572.057","false","1002330.97","938753.276","1002330.97","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","349650","false","8","kg","349650","false","349650","false","359.666","false","375615.438","365392.029","375615.438","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44324","false","8","kg","44324","false","44324","false","0","false","46302.221","43779.924","46302.221","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11298763.192","false","8","kg","11298763.192","false","11298763.192","false","0","false","11997735.821","11331933.854","11997735.821","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","524","NPL","Nepal","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2685.87","false","8","kg","2685.87","false","2685.87","false","0","false","5541.986","5304.614","5541.986","0","false","true",
